Summary,Issue Type,Status,Priority,Sprint,Assignee,Epic Name,Description,Story Points,Due Date
"E1 - Cadrage & Architecture",Epic,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),AMOR Houssem,E1 - Cadrage & Architecture,"Define MVP scope and finalize backend microservices architecture",13,2026-02-28
"E2 - Setup Projet & DevOps",Epic,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E2 - Setup Projet & DevOps,"Initialize repos, Docker Compose, CI/CD pipeline",13,2026-02-28
"E3 - Auth & User",Epic,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E3 - Auth & User,"JWT authentication, RBAC, user profile management",13,2026-03-14
"E4 - Wallet & Ledger",Epic,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E4 - Wallet & Ledger,"Wallet creation, balance, immutable ledger, history",8,2026-03-14
"E5 - Paiement Stripe",Epic,To Do,High,SSW Sprint 3 (Mar 15 - Mar 28),BEN SLIMA Wissem,E5 - Paiement Stripe,"Stripe checkout, webhooks, reconciliation",13,2026-03-28
"E6 - Security Service",Epic,To Do,High,SSW Sprint 4 (Mar 29 - Apr 11),AMOR Houssem,E6 - Security Service,"Security event collection, IP blocklist, SQLi detection, audit trail",13,2026-04-11
"E7 - Asynchrone Kafka",Epic,To Do,Medium,SSW Sprint 3 (Mar 15 - Mar 28),BEN SLIMA Wissem,E7 - Asynchrone Kafka,"Outbox pattern, idempotent consumers, dead-letter topics",8,2026-03-28
"E8 - Notification Service",Epic,To Do,Medium,SSW Sprint 3 (Mar 15 - Mar 28),KHEDHIRI Montaha,E8 - Notification Service,"Email notifications for payments, retry logic, delivery journal",5,2026-03-28
"E9 - AI Risk Service",Epic,To Do,High,SSW Sprint 4 (Mar 29 - Apr 11),AMOR Houssem,E9 - AI Risk Service,"Risk scoring (rules + ML + Ollama), policy actions, Kafka async",13,2026-04-11
"E10 - Reporting & Monitoring",Epic,To Do,Medium,SSW Sprint 5 (Apr 12 - Apr 25),KHEDHIRI Montaha,E10 - Reporting & Monitoring,"Payment/wallet/security reports, Grafana dashboards, Prometheus, Loki",8,2026-04-25
"E11 - Tests & Hardening",Epic,To Do,High,SSW Sprint 5 (Apr 12 - Apr 25),BEN SLIMA Wissem,E11 - Tests & Hardening,"Unit/integration/E2E tests, security hardening, CI/CD, production deploy",13,2026-04-25
"Create GitHub repo with branch strategy (main/dev/feature/*)",Story,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E2 - Setup Projet & DevOps,"Create mono-repo or multi-repo structure. Add branch protection rules on main. Convention: main/dev/feature/*",2,2026-02-18
"Add PR templates and review rules",Story,To Do,Medium,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E2 - Setup Projet & DevOps,"Create pull request templates, define code review requirements (min 1 approval)",1,2026-02-18
"Write docker-compose.yml (PostgreSQL + Redis + Kafka + Grafana + Loki)",Story,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E2 - Setup Projet & DevOps,"Docker Compose with containers: PostgreSQL, Redis, Kafka + Zookeeper, Grafana, Loki. Include health checks.",3,2026-02-21
"Add health check endpoints for each service",Story,To Do,Medium,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E2 - Setup Projet & DevOps,"Each .NET microservice exposes GET /health returning service status",1,2026-02-21
"Write README with local setup instructions",Story,To Do,Medium,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E2 - Setup Projet & DevOps,"Document prerequisites (Docker, .NET 8, Node), steps to clone and run, API examples (curl/Postman)",1,2026-02-28
"Create User table (EF Core migration)",Story,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E3 - Auth & User,"User table: id, email, name, password_hash, google_id, mfa_enabled, account_status, created_at, updated_at, last_login_at. Run EF Core migration.",2,2026-02-20
"Create Account table (EF Core migration)",Story,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E4 - Wallet & Ledger,"Account table: id, user_id, account_number, type, currency, balance, created_at, updated_at",1,2026-02-20
"Create Wallet/Ledger table (EF Core migration)",Story,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E4 - Wallet & Ledger,"Ledger table: id, account_id, type (credit/debit), amount, balance_after, description, created_at. Append-only.",1,2026-02-20
"Create LoginEvent table (EF Core migration)",Story,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E3 - Auth & User,"LoginEvent table: id, user_id, ip, user_agent, country, success, failure_reason, timestamp, is_flagged",1,2026-02-20
"Implement POST /api/auth/register",Story,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E3 - Auth & User,"Register endpoint: validate input, hash password (bcrypt 12 rounds), create user, auto-create wallet (balance=0), return JWT + refresh token (httpOnly cookie)",3,2026-02-24
"Implement POST /api/auth/login",Story,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E3 - Auth & User,"Login endpoint: validate credentials, issue JWT (15 min) + refresh token (7 days), log LoginEvent (ip, user_agent, success/fail)",3,2026-02-24
"Implement POST /api/auth/refresh",Story,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E3 - Auth & User,"Refresh token endpoint: validate refresh token, issue new JWT access token",1,2026-02-25
"Implement POST /api/auth/logout",Story,To Do,Medium,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E3 - Auth & User,"Logout endpoint: invalidate refresh token, clear httpOnly cookie",1,2026-02-25
"Implement RBAC middleware (User/Admin roles)",Story,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E3 - Auth & User,"Attribute-based authorization on .NET controllers. Roles: User, Admin. Reject unauthorized with 403.",2,2026-02-26
"Auto-create wallet on user registration",Story,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E4 - Wallet & Ledger,"When register succeeds, create Account + Wallet with balance=0. Link to user_id.",1,2026-02-25
"Implement GET /api/wallet/balance",Story,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E4 - Wallet & Ledger,"Return current wallet balance for authenticated user. Query Account table by user_id.",1,2026-02-26
"Verify full Sprint 1 flow end-to-end",Story,To Do,Medium,SSW Sprint 1 (Feb 15 - Feb 28),KHEDHIRI Montaha,E2 - Setup Projet & DevOps,"Manual test: register -> login -> get balance -> refresh token -> logout. Verify Docker Compose starts cleanly.",1,2026-02-28
"Implement GET /api/users/profile",Story,To Do,High,SSW Sprint 2 (Mar 1 - Mar 14),BEN SLIMA Wissem,E3 - Auth & User,"Return authenticated user profile: name, email, created_at, preferences",1,2026-03-04
"Implement PUT /api/users/profile",Story,To Do,High,SSW Sprint 2 (Mar 1 - Mar 14),BEN SLIMA Wissem,E3 - Auth & User,"Update name, language, notification preferences. Log sensitive changes to audit table.",2,2026-03-04
"Implement GET /api/wallet/history with pagination and filters",Story,To Do,High,SSW Sprint 2 (Mar 1 - Mar 14),BEN SLIMA Wissem,E4 - Wallet & Ledger,"Paginated ledger entries. Query params: startDate, endDate, type (credit/debit), page, size. Sort by timestamp desc.",3,2026-03-06
"Implement GET /api/wallet/history/:id (single entry detail)",Story,To Do,Medium,SSW Sprint 2 (Mar 1 - Mar 14),BEN SLIMA Wissem,E4 - Wallet & Ledger,"Return detailed view of a single ledger entry by ID.",1,2026-03-06
"Angular: Login page",Story,To Do,High,SSW Sprint 2 (Mar 1 - Mar 14),BAHROUNI Seif,E3 - Auth & User,"Email/password login form. Google Sign-In button. Route to dashboard on success.",2,2026-03-06
"Angular: Registration page",Story,To Do,High,SSW Sprint 2 (Mar 1 - Mar 14),BAHROUNI Seif,E3 - Auth & User,"Registration form: name, email, password, confirm password. Validation. Redirect to login on success.",2,2026-03-06
"Angular: Dashboard page",Story,To Do,High,SSW Sprint 2 (Mar 1 - Mar 14),BAHROUNI Seif,E4 - Wallet & Ledger,"Wallet balance card, recent transactions list (last 10), navigation to Profile/History/Settings",3,2026-03-10
"Angular: Profile page (view & edit)",Story,To Do,Medium,SSW Sprint 2 (Mar 1 - Mar 14),BAHROUNI Seif,E3 - Auth & User,"Display user profile fields. Edit form for name and preferences. Save calls PUT /api/users/profile.",2,2026-03-10
"Angular: Wallet History page",Story,To Do,High,SSW Sprint 2 (Mar 1 - Mar 14),BAHROUNI Seif,E4 - Wallet & Ledger,"Table with columns: date, type, amount, balance_after, description. Date/type filters. Pagination controls.",3,2026-03-12
"Angular: Auth guards and JWT HTTP interceptor",Story,To Do,High,SSW Sprint 2 (Mar 1 - Mar 14),BAHROUNI Seif,E3 - Auth & User,"Route guard: redirect to /login if no valid JWT. HTTP interceptor: attach Authorization header, handle 401 -> redirect to login.",2,2026-03-07
"Implement POST /api/auth/google (Google OAuth)",Story,To Do,High,SSW Sprint 2 (Mar 1 - Mar 14),BEN SLIMA Wissem,E3 - Auth & User,"Receive Google OAuth token, verify with Google API, create or link user, issue JWT + refresh token.",3,2026-03-10
